host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,percentage_aval_30,has_shampoo,has_kitchen,has_heating,has_air conditioning,has_smoke alarm,has_essentials,has_iron,has_free parking on premises,has_hangers,has_hair dryer,has_washer,has_long term stays allowed,has_wifi,entire_space
1,1.0,1.0,1,1,30.26057,-97.73441,3,1.0,2.0,240.0,2,90,2.0,3.0,90.0,90.0,2.0,90.0,1,585,42,5,4.83,4.87,4.85,4.89,4.81,4.73,4.78,0,1,3.69,0.23333333333333334,1,1,1,1,1,1,1,0,1,1,0,1,1,1
1,1.0,1.0,1,1,30.45697,-97.78422,2,1.0,1.0,42.0,1,14,1.0,1.0,14.0,14.0,1.0,14.0,1,264,3,0,4.9,4.9,4.86,4.91,4.94,4.74,4.92,0,1,1.81,0.0,1,1,1,1,1,1,0,1,0,1,0,0,1,0
1,1.0,1.0,1,1,30.24885,-97.73587,2,,1.0,109.0,3,365,3.0,3.0,1125.0,1125.0,3.0,1125.0,1,117,2,0,4.97,4.99,4.99,4.99,4.98,4.86,4.94,1,1,0.78,0.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1,2.0,2.0,1,1,30.26034,-97.76487,3,1.0,2.0,325.0,3,365,3.0,3.0,1125.0,1125.0,3.0,1125.0,1,268,30,3,4.97,4.97,4.96,4.99,4.97,4.97,4.89,1,1,2.09,0.3,1,1,0,0,1,1,1,1,1,1,0,1,1,1
0,1.0,1.0,1,0,30.23466,-97.73682,2,1.0,1.0,44.0,3,90,3.0,4.0,90.0,90.0,3.4,90.0,1,48,2,0,4.53,4.49,4.67,4.83,4.86,4.64,4.57,0,1,0.33,0.0,1,1,1,1,1,1,0,0,0,1,0,1,1,1
1,1.0,1.0,1,1,30.26098,-97.73072,3,2.0,2.0,250.0,30,180,30.0,30.0,180.0,180.0,30.0,180.0,1,14,2,0,5.0,4.93,4.93,5.0,5.0,5.0,5.0,0,2,0.1,0.0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1,10.0,10.0,1,1,30.24417,-97.73988,4,2.0,2.0,417.0,1,365,1.0,4.0,365.0,365.0,1.9,365.0,1,137,22,1,4.9,4.93,4.93,4.99,4.99,4.99,4.8,1,12,1.24,0.2,0,0,1,1,1,0,1,1,0,1,1,0,1,1
0,2.0,2.0,1,1,30.38794,-97.76358,4,2.0,2.0,153.0,30,365,30.0,30.0,365.0,365.0,30.0,365.0,1,11,0,0,4.8,5.0,4.25,5.0,5.0,5.0,4.75,0,1,0.08,0.0,0,1,1,1,1,1,0,1,1,1,1,1,1,1
1,1.0,1.0,1,1,30.23614,-97.73225,2,1.0,1.0,58.0,31,365,31.0,31.0,365.0,365.0,31.0,365.0,1,46,6,0,4.93,5.0,5.0,5.0,5.0,4.8,4.9,0,1,0.31,0.0,0,1,1,1,1,1,1,0,1,1,0,1,1,1
0,1.0,1.0,1,0,30.35123,-97.76207,4,2.0,2.0,350.0,2,30,2.0,2.0,30.0,30.0,2.0,30.0,1,34,4,0,4.91,4.94,4.94,4.97,4.97,4.91,4.78,0,1,0.25,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1.0,1.0,1,1,30.37783,-97.70749,1,1.0,1.0,42.0,30,120,30.0,30.0,120.0,120.0,30.0,120.0,1,6,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0.17,0.03333333333333333,1,1,0,0,1,1,1,1,1,1,0,1,1,0
0,2.0,2.0,1,1,30.28588,-97.75145,2,2.0,3.0,117.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,1,31,1,0,4.87,4.74,4.74,5.0,4.96,4.81,4.85,0,2,0.22,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2.0,2.0,1,1,30.25756,-97.76995,6,1.0,3.0,188.0,1,15,1.0,4.0,15.0,15.0,1.4,15.0,1,852,119,12,4.91,4.93,4.93,4.96,4.96,4.94,4.81,0,2,6.25,0.36666666666666664,1,0,1,1,1,1,1,1,0,1,0,0,1,1
1,2.0,2.0,1,1,30.26146,-97.77276,4,1.0,1.0,278.0,2,90,1.0,4.0,1125.0,1125.0,1.4,1125.0,1,163,46,4,4.96,4.95,4.99,5.0,5.0,4.95,4.83,1,2,1.23,0.3333333333333333,0,1,1,1,1,0,1,1,0,1,1,0,1,1
1,1.0,1.0,1,1,30.2309,-97.76619,2,1.0,1.0,124.0,2,730,2.0,2.0,1125.0,1125.0,2.0,1125.0,1,446,5,1,4.98,4.98,5.0,4.99,4.99,4.8,4.95,0,1,3.31,0.0,0,0,1,1,1,0,1,1,0,1,0,0,1,1
1,1.0,1.0,1,1,30.23644,-97.76611,3,1.0,1.0,225.0,2,28,2.0,2.0,28.0,28.0,2.0,28.0,1,36,5,0,4.94,4.97,4.86,4.94,4.89,4.92,4.72,0,1,0.66,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2.0,2.0,1,1,30.24648,-97.74913,3,1.0,3.0,150.0,2,30,2.0,2.0,30.0,30.0,2.0,30.0,1,163,18,2,4.9,4.96,4.9,4.99,4.94,4.95,4.83,0,1,1.22,0.0,1,1,1,1,1,1,0,0,1,1,0,1,1,1
